No printable barcode,لا يوجد باركود قابل للطباعة,
A selected barcode cannot be printed.,لا يمكن طباعة أحد الباركودات المحددة.,
Select at least one barcode to print.,اختر باركودًا واحدًا على الأقل للطباعة.,
No barcodes selected.,لم يتم اختيار باركودات.,
Invalid barcode.,باركود غير صالح.,
Sheet / Grid,صفحة / شبكة,
One Label Per Page,ملصق واحد في كل صفحة,
Custom page,صفحة مخصصة,
Page width mm,عرض الصفحة مم,
Page height mm,ارتفاع الصفحة مم,
Labels / Page,الملصقات / الصفحة,
Total Pages,إجمالي الصفحات,
Print Limit,حد الطباعة,
Add Barcode Range,إضافة رنج باركود,
Paste Barcode List,لصق قائمة باركودات,
Barcode Range,رنج باركود,
Pasted Barcode List,قائمة باركودات ملصقة,
unique barcode(s),باركود فريد,
From Barcode,من باركود,
To Barcode,إلى باركود,
Copies per Barcode,عدد النسخ لكل باركود,
Maximum for current print mode,الحد الأقصى لوضع الطباعة الحالي,
Add Range,إضافة الرنج,
Barcodes,الباركودات,
"Separate barcodes by a new line, comma, or Arabic comma.",افصل الباركودات بسطر جديد أو فاصلة أو فاصلة عربية.,
Add List,إضافة القائمة,
Ignored {0} duplicate barcode(s).,تم تجاهل {0} باركود مكرر.,
This print mode allows a maximum of {0} labels.,يسمح وضع الطباعة هذا بحد أقصى {0} ملصق.,
Qty Next Scan,كمية للمسح التالي,
Qty Next Scan: ON,كمية للمسح التالي: مفعّل,
Quantity dialog for next ordinary barcode scan (F8),نافذة الكمية لأول باركود عادي يتم مسحه لاحقًا (F8),
Scan with Camera,مسح بالكاميرا,
Camera,الكاميرا,
Camera Scanner,ماسح الكاميرا,
Camera barcode scanner is not available in this session.,ماسح الباركود بالكاميرا غير متاح في هذه الجلسة.,
Quantity for {0},الكمية للصنف {0},
Enter a valid quantity greater than zero.,أدخل كمية صحيحة أكبر من صفر.,
Scan Barcodes,مسح الباركودات,
Scan barcode and press Enter,امسح الباركود ثم اضغط Enter,
Ready to scan barcodes.,جاهز لمسح الباركودات.,
Barcode {0} is already on this Item.,الباركود {0} موجود بالفعل في هذا الصنف.,
Barcode {0} is already assigned to Item {1}.,الباركود {0} مرتبط بالفعل بالصنف {1}.,
Barcode {0} is already saved on this Item.,الباركود {0} محفوظ بالفعل في هذا الصنف.,
Added barcode {0}.,تمت إضافة الباركود {0}.,
